ID,DATA,TITULO,EMPRESA,LOCAL,LINK,DESCRICAO
cientista-de-dados-s%C3%AAnior-especialista-at-dattos-3759851826,2023-11-07,Cientista de Dados - Sênior /Especialista,Dattos,Brasil,https://br.linkedin.com/jobs/view/cientista-de-dados-s%C3%AAnior-especialista-at-dattos-3759851826?refId=O7kBJ5pj3z8Zrs0QsMplGg%3D%3D&trackingId=6%2F6ZU%2BmWnPmNepgHroAx3A%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Somos uma empresa de tecnologia em rápido crescimento que resolve desafios de automação de dados financeiros para as principais grandes empresas do mercado Brasileiro.

Nosso produto é uma plataforma de data analytics para finanças, que empodera times a automatizar rotinas de integração, transformação, cálculo e comparação de dados por meio de uma experiência sem código (No-Code) e uma galeria de modelos de soluções.

Contexto

Você será parte integrante da nossa equipe de Produtos, desempenhando um papel crítico na pesquisa, desenvolvimento e implementação (junto à área de Engenharia) de soluções avançadas de aprendizado de máquina e inteligência artificial.

Nosso foco está especialmente direcionado para engenharia de prompts (LLMs) e treinamento de modelos usando técnicas de Deep Learning que ajudem a simplificar a jornada de configuração e análise de resultados de automação de fluxos de dados financeiros.

Responsabilidades e atribuições

Desenvolver e aprimorar algoritmos/modelos de aprendizado de máquina usando técnicas de Deep Learning (XGBoost), Regressão Linear, AI Generativa e outras tecnologias disponíveis.
Projetar, coletar, limpar e analisar dados para garantir a qualidade dos conjuntos de treinamento.
Trabalhar em colaboração com engenheiros de software para implementar modelos em ambientes de produção.
Desenvolver, otimizar e aperfeiçoar prompts para sistemas de geração de texto e conversacionais.
Realizar pesquisa constante para se manter atualizado sobre as melhores práticas e tendências em engenharia de prompts e treinamento de modelos.


Requisitos e qualificações

Bacharelado ou mestrado em Ciência de Dados, Inteligência Artificial, Estatística ou área relacionada.
Experiência comprovada em engenharia de prompts e treinamento de modelos utilizando Deep Learning, XGBoost e outras técnicas de aprendizado de máquina.
Sólido conhecimento de linguagens de programação como Python, R ou similar.
Experiência com bibliotecas e frameworks populares, como TensorFlow, PyTorch, Scikit-learn e XGBoost.
Habilidade para trabalhar com grandes volumes de dados e conhecimento em ferramentas de manipulação de dados.
Capacidade de comunicar resultados de forma clara e eficaz para públicos técnicos e não técnicos.


Diferenciais

Especialização em Ciência de Dados, Inteligência Artificial ou área relacionada.
Experiência em projetos de NLP (Processamento de Linguagem Natural) e sistemas de diálogo.
Conhecimento em Big Data e suas tecnologias, como Hadoop, Spark, etc.


Informações adicionais

Remuneração competitiva;
Anywhere Office;
Auxílio Home Office;
30 dias de descanso remunerados;
Perspectiva de carreira;
Ambiente colaborativo que possibilita aprendizado contínuo."
analista-de-projetos-remoto-at-indicium-3751651117,2023-11-07,Analista de Projetos (Remoto),Indicium,"Florianópolis, SC",https://br.linkedin.com/jobs/view/analista-de-projetos-remoto-at-indicium-3751651117?refId=O7kBJ5pj3z8Zrs0QsMplGg%3D%3D&trackingId=6Z1wspWvyWdp2Ob5cbKb%2Bg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"Quem somos

Nossa missão é construir vantagem analítica nas empresas através dos dados. Para isso, trabalhamos em todas as etapas da Jornada Data Driven utilizando processos inovadores e tecnologias na fronteira do conhecimento.

Crescemos exponencialmente desde nosso início, em 2017, e hoje temos clientes entre as maiores empresas do Brasil e do mundo! Já somos considerados uma das líderes em data science e analytics na América Latina, e nossa visão é estar entre as maiores consultorias independentes de analytics no Brasil nos próximos anos. Temos projetos em diferentes continentes e esperamos crescer ainda mais!

Apesar da “hype” nos últimos anos, as empresas em geral ainda mal arranharam a superfície da utilização dos dados. Isso significa que nosso ambiente é extremamente dinâmico e inovador: podemos estar estruturando uma nova estratégia de dados em uma grande empresa brasileira em um dia e, no dia seguinte, fazendo um modelo de previsão para uma multinacional americana ou europeia.

Também buscamos inovar em processos e ferramentas, utilizando tecnologias de código aberto em engenharia de dados, big data, machine learning, inteligência artificial, BI e analytics. Encorajamos a busca contínua por novas e melhores ferramentas e também desenvolvemos nossas próprias, quando necessário.

Nosso principal recurso não são os processos inovadores e as tecnologias de ponta, mas as pessoas e a cultura que desenvolvemos diariamente.

Buscamos pessoas que queiram compartilhar e agregar ainda mais nessa cultura de inovação e desenvolvimento mútuo.

Acreditamos que cada um tem uma voz. Nossa gestão é transparente (mesmo!) e horizontal.
Temos uma cultura de treinamento e educação permanente com material próprio e externo.
Temos uma cultura de feedback permanente e desenvolvimento de pessoas.
Incentivamos que nossos colegas sejam donos de seus próprios projetos e criem novos processos.
Valorizamos as interações dentro e fora do ambiente de trabalho com noites de jogos, happy hours e muito mais (presenciais e virtuais).
Temos programa de incentivo para iniciativas pessoais e colaborativas.

Gostou?

Então, siga conosco!

Como Analista de Projetos você vai ser responsável por fornecer suporte operacional aos Gestores de Projetos na condução dos projetos de dados de uma ou mais squads, em todas as etapas do ciclo (planejamento, execução, acompanhamento e encerramento). Mantém a fluidez na comunicação entre a equipe, de modo que todos estejam alinhados sobre os direcionamentos dos projetos.

Garante a execução dos rituais de gestão e produção dos artefatos de gestão dentro dos métodos e padrões estabelecidos. Assegura o cumprimento das atividades dos squads dentro dos cronogramas de projetos, acompanhando indicadores operacionais e direcionando planos de melhoria.

Suas funções incluem

Conduzir a execução dos rituais de gestão (sprint planning, review, daily meetings, etc.) dentro dos padrões estabelecidos
Propor adaptações de métodos e ferramentas de acordo com as necessidades dos squads e projetos
Promover o autogerenciamento dos squads, atuando como facilitador da gestão e interação da equipe
Criar e manter atualizados os artefatos de gestão (Kanban, backlogs de projeto, relatórios, apresentações, documentações, etc.)
Criar e editar tarefas nos sistema de gerenciamento de projetos da empresa
Administrar os cronogramas e entregas de diversos projetos
Garantir as condições operacionais para o pleno desenvolvimento das atividades pela equipe
Fornecer suporte à equipe na priorização e realização das atividades dos sprints
Compilar e analisar indicadores operacionais para acompanhamento dos projetos
Elaborar relatórios gerenciais, estudos e apresentações de resultados
Comunicar o andamento de projetos junto a stakeholders internos e externos

Requisitos básicos

Formação técnica ou experiência profissional com viés gerencial (Administração, Economia, Engenharias e afins)
Conhecimento intermediário em gestão de processos gerenciais
Domínio intermediário de ferramentas analíticas (Excel, BI, etc)
Domínio de ferramentas e métodos ágeis de gestão de projetos (Agile, Scrum, Jira, Kanban, Backlog, Gantt, etc.)
Experiência na elaboração de relatórios gerenciais
Experiência em gestão de equipes
Organização, iniciativa e proatividade
Ótima comunicação oral e escrita
Agilidade na resolução de problemas
Capacidade analítica
Inglês avançado

Diferenciais

Experiência com gestão de projetos de dados
Experiência como Scrum Master
Experiência em projetos de consultoria
Experiência em treinamento e desenvolvimento de pessoas
Certificação de metodologias de gestão de projetos (PMBOK, Scrum, Agile, CPM, Lean, etc)

Para conhecer mais sobre os benefícios desta vaga, clique neste link: https://drive.google.com/file/d/14167VYRybOWMtGCkmzmJdYVYb39R-4g1/view?usp=sharing"
profissional-cientista-de-dados-s%C3%AAnior-at-brq-digital-solutions-3758439008,2023-11-07,Profissional Cientista de Dados Sênior,BRQ Digital Solutions,"São Paulo, SP",https://br.linkedin.com/jobs/view/profissional-cientista-de-dados-s%C3%AAnior-at-brq-digital-solutions-3758439008?refId=O7kBJ5pj3z8Zrs0QsMplGg%3D%3D&trackingId=pD3%2BRJYgZyWjr9RGmPbPeg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"Código: 25414

Sobre a BRQ Digital
Há 30 anos no mercado, a BRQ Digital Solutions se consolidou como uma das maiores empresas de transformação digital do país. Com uma plataforma de serviços end to end, oferecemos as mais eficientes e inovadoras soluções, tecnologias e metodologias, promovendo uma jornada de transformação para grandes marcas, de diferentes segmentos, no Brasil e no exterior.
Temos 3 mil funcionários e a empresa é destaque como um dos melhores lugares para trabalhar pelo GPTW e Glassdoor.

BRQ WAY
No nosso BRQ WAY temos a missão de conectar, transformar e empoderar cada um dos nossos profissionais, que por aqui são chamados de feras, para que todos tenham a chance de usar sua paixão para transformar o mundo com tecnologia!
É isso que queremos, com nosso Programa de Diversidade e Inclusão trabalhamos com dois objetivos: equidade e inclusão, buscamos aumentar a participação dos grupos minoritários, quebrar os vieses inconscientes e expandir a conscientização sobre temas tão importantes para que todos sejam livres para serem quem são.

Vamos transformar juntos! Vem ser fera com a gente!

- O que procuramos?
Buscamos um #fera com espírito empreendedor e que sabe que é o verdadeiro protagonista do seu sucesso! Queremos em nosso time pessoas motivadas por desafios, constante evolução e, claro, que são apaixonadas por tecnologia e transformação!

- O que você deve ter?
Experiência no setor de seguros é imprescindível;
Necessário experiência em desenvolvimento de modelos preditivos e técnicas de Machine Learning;
Conhecimento de Pyspark, Python e bibliotecas para ciência e análise de dados;
Experiência em trabalhar com serviços de nuvem, de preferência AWS e seus componentes;
Jupyter notebook c/ EMR Estatístico , Matemático;
Diferencial: Mestrado ou Doutorado nas áreas de: Engenharia, Economia, Estatística, Exatas em geral;
CLT, salário a combinar + benefícios
Presencial 2 x por mês na Zona Sul de São Paulo (Faria Lima).

- O que temos pra te oferecer?
Mais do que um plano de carreira!
A BRQ acredita que cada fera deve ser protagonista do seu crescimento, tendo autonomia para criar seu próprio plano de desenvolvimento profissional. Nosso plano de carreira é dividido em 4 pilares:
Carreira técnica: Você pode seguir a trilha de crescimento técnico, se o seu objetivo for se desenvolver cada vez mais em diferentes tecnologias. Oferecemos diversos treinamentos!
Carreira de Liderança: Você pode seguir a trilha e se tornar um líder, desenvolver pessoas, auxiliar na evolução profissional e pessoal e estimular o crescimento para o surgimento de novos talentos.
Experiência internacional: Estamos crescendo cada vez mais fora do Brasil e você tem possibilidade de atuar em projetos para outros países, ou diretamente nos países onde a BRQ tem sede.
Empreendedorismo: De funcionário para sócio! Temos o Innovation Hub, a Corporate Venture que investe em ideias de profissionais que tenham sinergia com nosso negócio.

- E os benefícios?
Plano de Saúde; Plano Odontológico; Seguro de Vida; Vale Refeição; Vale Alimentação; Horário Flexível; Gympass, Telemedicina, Telenutrição, Canal de suporte emocional 24h e muito mais!

- Como é trabalhar na BRQ?
Temos um clima descontraído, diversos programas e eventos internos. Adoramos comemorar! E fazemos isso muito bem! Veja aqui no Youtube: youtube.com/brqdigitalsolutions

Curtiu? Então inscreva-se e venha para o melhor da Transformação Digital com a gente! 🚀"
cientista-de-dados-s%C3%AAnior-deep-learning-at-ambev-tech-3760429029,2023-11-07,Cientista de Dados Sênior (Deep learning),Ambev Tech,Brasil,https://br.linkedin.com/jobs/view/cientista-de-dados-s%C3%AAnior-deep-learning-at-ambev-tech-3760429029?refId=O7kBJ5pj3z8Zrs0QsMplGg%3D%3D&trackingId=D86PS%2FMeXb75sGO90KWs3g%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"Seja Cientista de Dados (Deep learning) na Ambev!
Se você sabe transformar dados em informações de valor e quer fazer parte de uma empresa dinâmica, precisamos conversar! Estamos com vagas abertas para Cientista de Dados Deep Learning, que será responsável pelo levantamento, análise e compilação de informações sobre os dados e projetos da empresa. Pesquisar, projetar e desenvolver modelos de Deep Learning para percepção de linguagem em chamados do atendimento ao cliente.

FICHA TÉCNICA
Departamento: Data
Nível: Sênior
Modelo de contratação: CLT
Local de trabalho: Remoto

REQUISITOS
Experiência em PySpark
Experiência com Machine Learning
Experiência com Databricks
Experiência com ferramentas de orquestração de dados
Experiência aplicando habilidades de Deep Learning e Linguagem Generativa
Experiência em conceitos de NLP"
cientista-de-dados-s%C3%AAnior-especialista-at-dattos-3759817211,2023-11-07,Cientista de Dados Sênior /Especialista,Dattos,"São Paulo, Brasil",https://br.linkedin.com/jobs/view/cientista-de-dados-s%C3%AAnior-especialista-at-dattos-3759817211?refId=O7kBJ5pj3z8Zrs0QsMplGg%3D%3D&trackingId=Ny733E0n51yTF2mxIBgdeg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"Sobre a Dattos
Somos uma empresa de tecnologia em rápido crescimento que resolve desafios de automação de dados financeiros para as principais grandes empresas do mercado Brasileiro.

Nosso produto é uma plataforma de data analytics para finanças, que empodera times a automatizar rotinas de integração, transformação, cálculo e comparação de dados por meio de uma experiência sem código (No-Code) e uma galeria de modelos de soluções.

Contexto
Você será parte integrante da nossa equipe de Produtos, desempenhando um papel crítico na pesquisa, desenvolvimento e implementação (junto à área de Engenharia) de soluções avançadas de aprendizado de máquina e inteligência artificial.

Nosso foco está especialmente direcionado para engenharia de prompts (LLMs) e treinamento de modelos usando técnicas de Deep Learning que ajudem a simplificar a jornada de configuração e análise de resultados de automação de fluxos de dados financeiros.

Responsabilidades
Desenvolver e aprimorar algoritmos/modelos de aprendizado de máquina usando técnicas de Deep Learning (XGBoost), Regressão Linear, AI Generativa e outras tecnologias disponíveis.
Projetar, coletar, limpar e analisar dados para garantir a qualidade dos conjuntos de treinamento.
Trabalhar em colaboração com engenheiros de software para implementar modelos em ambientes de produção.
Desenvolver, otimizar e aperfeiçoar prompts para sistemas de geração de texto e conversacionais.
Realizar pesquisa constante para se manter atualizado sobre as melhores práticas e tendências em engenharia de prompts e treinamento de modelos.

Requisitos
Bacharelado ou mestrado em Ciência de Dados, Inteligência Artificial, Estatística ou área relacionada.
Experiência comprovada em engenharia de prompts e treinamento de modelos utilizando Deep Learning, XGBoost e outras técnicas de aprendizado de máquina.
Sólido conhecimento de linguagens de programação como Python, R ou similar.
Experiência com bibliotecas e frameworks populares, como TensorFlow, PyTorch, Scikit-learn e XGBoost.
Habilidade para trabalhar com grandes volumes de dados e conhecimento em ferramentas de manipulação de dados.
Capacidade de comunicar resultados de forma clara e eficaz para públicos técnicos e não técnicos.
Diferenciais

Especialização em Ciência de Dados, Inteligência Artificial ou área relacionada.
Experiência em projetos de NLP (Processamento de Linguagem Natural) e sistemas de diálogo.
Conhecimento em Big Data e suas tecnologias, como Hadoop, Spark, etc.

Benefícios
Remuneração competitiva;
Anywhere Office;
Auxílio Home Office;
30 dias de descanso remunerados;
Perspectiva de carreira;
Ambiente colaborativo que possibilita aprendizado contínuo."
machine-learning-architect-at-caylent-3727849925,2023-11-07,Machine Learning Architect,Caylent,Brasil,https://br.linkedin.com/jobs/view/machine-learning-architect-at-caylent-3727849925?refId=O7kBJ5pj3z8Zrs0QsMplGg%3D%3D&trackingId=pPIvhUrvt6BSAESY%2BZb%2BVg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"Caylent is a cloud native services company that helps organizations bring the best out of their people and technology using Amazon Web Services (AWS). We provide a full-range of AWS services including: workload migrations & modernization, cloud native application development, DevOps, data engineering, security & compliance and everything in between. At Caylent, our people always come first.

We are a fully remote global company with employees in Canada, the United States and Latin America. We celebrate the culture of each of our team members and foster a community of technological curiosity. Come talk to us to learn more about what it means to be a Caylien!

The Mission

At Caylent, a Machine Learning Architect works as an integral part of a cross-functional delivery team to design and document machine learning solutions on the AWS cloud for our customers. We are looking for someone that has a strong understanding of the various model types and tools, and can help our customers connect their business goals with the details of feature design, model training and inference. You will also have a weekly 1:1 with your manager to help guide you in your career and make the most of your time at Caylent.

Your Assignment

Work with a team to deliver machine learning solutions on AWS for customers
Decompose business goals into architecture and Sprint-level tasks
Having had thorough hands on experience, lead engineers in building solutions
Participate in daily standup meetings and address technical issues
Design and document ML models, MLOps, and analytics
Big data processing and preparation of training data for models

Your Qualifications
At least 5 years of hands on experience in most of these ML tools/techniques:
Build ML models in SageMaker
Build ML models in frameworks like Tensorflow & PyTorch and deploy in SageMaker
Train and deploy AWS pre-trained AI Services and Foundational Models
Build and optimize models using feature definition, activation functions, hyperparameter tuning and other techniques
Integrate ML models into real-time applications and batch workflows, recommend better infrastructure design and optimization
Monitor, evaluate and continuously improve model performance, as well as automate these tasks using one or more tools for MLOps
Hands on experience in these data engineering tools/techniques:
Data integration, cleansing, transformation, and visualization using Python packages, SQL etc.
AWS services such as Glue, EMR, Athena, DynamoDB, StepFunctions, EKS etc
Experience with an IaC tool such as CloudFormation, CDK or Terraform
Excellent written and verbal communication skills

Benefits

Pay in USD
100% remote work
Generous holidays and flexible PTO
Competitive phantom equity
Paid for exams and certifications
Peer bonus awards
State of the art laptop and tools
Equipment & Office Stipend
Individual professional development plan
Annual stipend for Learning and Development
Work with an amazing worldwide team and in an incredible corporate culture

Caylent is a place where everyone belongs. We celebrate diversity and are committed to creating an inclusive environment for all employees. Our approach helps us to build a winning team that represents a variety of backgrounds, perspectives, and abilities. So, regardless of how your diversity expresses itself, you can find a home here at Caylent.

We are proud to be an equal opportunity employer. We prohibit discrimination and harassment of any kind based on race, color, religion, national origin, sex (including pregnancy), sexual orientation, gender identity, gender expression, age, veteran status, genetic information, disability, or other applicable legally protected characteristics. If you would like to request an accommodation due to a disability, please contact us at hr@caylent.com."
analista-de-crm-salesforce-marketing-cloud-at-b4a-3759671399,2023-11-07,Analista de CRM (Salesforce Marketing Cloud),B4A,"São Paulo, SP",https://br.linkedin.com/jobs/view/analista-de-crm-salesforce-marketing-cloud-at-b4a-3759671399?refId=O7kBJ5pj3z8Zrs0QsMplGg%3D%3D&trackingId=5WtGx54QXVhQOtVY7kASJw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"Aqui você vai encontrar:

Oportunidade de aprender e de se desenvolver. Ambição, senso de urgência, muitos desafios, pessoas comprometidas, clima colaborativo e muita capacidade de realização.

Se você é curioso (a), ambicioso (a), tem interesse em se desafiar diariamente, gosta de botar a mão na massa e busca trabalhar em um time dinâmico, que se comunica de forma clara e que pensa como um cientista, saiba que essa oportunidade é para você, vem ser Analista de CRM (Salesforce Marketing Cloud) aqui na B4A!

📍 Local de trabalho: Presencial Berrini - São Paulo, SP

📃 Modelo de contratação: CLT ou Pessoa Jurídica

Aceita esse desafio?! Cadastre seu currículo e venha fazer parte do #teamB4A! Aproveite e conheça mais sobre a B4A em nosso site: www.b4a.com.br

Procuramos alguém que:

Tenha um propósito de vida e de carreira ambicioso e que não mede esforços para fazer o que precisa ser feito;
Busca fazer parte de uma história inspiradora e de sucesso com pessoas dispostas a mudar o mundo;
Gosta de trabalhar em equipe presencialmente juntos e tenha interesse por tecnologia, inovação e beleza;
Tenha extremo senso de urgência, disposição e flexibilidade, e entenda que algumas coisas não podem esperar
Tenha auto responsabilidade: ""isso não é responsabilidade minha"", não funciona aqui!;
Saiba se comunicar de forma clara e objetiva e lidar bem com pessoas;
Tenha atenção concentrada e consiga trabalhar sob pressão;
Seja dinâmico para resolver problemas e lidar com diversas atividades simultaneamente;
Seja um profissional de alta performance com foco, organização e planejamento de atividades;


E claro, se identifique a cultura B4A!

Responsabilidades e atribuições

Responsabilidades e atribuições:

Automação do ciclo de vida do cliente com estratégias inovadoras e omnichannel de e-mail marketing, whatsapp, SMS e outros.
Conduzir as iniciativas de marketing de CRM, incluindo estratégia, design, desenvolvimento, testes e análise de resultados.
Construir a segmentação de usuários com base no perfil de clientes e ciclo do produto.
Criar e executar planos de testes com foco em conversão, retenção e engajamento ao longo do ciclo de vida do cliente.
Compreender os dados para proporcionar aos clientes uma experiência melhor e maximizar a conversão, vendas cruzadas e reativação.
Criar relatórios e dashboards para gestão de indicadores e resultados eficiente das atividades diárias de CRM e ações de marketing digital.
Acompanhar as tendências do mercado, ofertas competitivas e melhores práticas para aplicar melhorias contínuas.


Requisitos e qualificações

Requisitos e qualificações:

Experiência com CRM e marketing digital
Formação em Marketing ou área relacionada.
Habilidades avançadas de Excel
Senso de urgência, capacidade analítica, facilidade com indicadores e comunicação objetiva
Perfil hands on, organizado, proativo na identificação de oportunidades e insights, resolução de problemas
Experiência com Salesforce Marketing Cloud, Google Analytics e ferramentas e estratégias de atração e retenção de clientes e teste A/B
Conhecimento e prática no uso de plataformas de inteligência artificial como Chat GPT, Midjourney e Adobe Firefly
Conhecimento ou vontade de rápido aprendizado de java/google script


Informações adicionais

O que oferecemos:

💸Remuneração acima do mercado

🤝Programa Vire Sócio B4A - queremos que você também seja sócio! Se você permanecer na B4A depois de 1 ano você será elegível para virar sócio e participar no sucesso da empresa!

😊 Espaço físico que estimula a criatividade com clima colaborativo e amigável

⏰ Horários flexíveis - para que consiga cumprir todos os seus compromissos

🍱 Vale Refeição - com cartão CAJU

🚌 Auxilio transporte

🤍 Convênio médico

⛱ Férias remuneradas

🐶 Pet friendly - nossos aumigos sempre pertinho de você

🏋️‍♀️ Gympass - para que os nossos colaboradores cuidem da saúde física

🛒 Descontos exclusivos em nossas plataformas

📚 Descontos com parceiros educacionais - lifelong learning"
ai-product-manager-bootcamp-and-project-work-at-moyyn-3760425689,2023-11-07,AI Product Manager: Bootcamp and Project work,Moyyn,São Paulo e Região,https://br.linkedin.com/jobs/view/ai-product-manager-bootcamp-and-project-work-at-moyyn-3760425689?refId=O7kBJ5pj3z8Zrs0QsMplGg%3D%3D&trackingId=n7VjVL09wI6C6i2kc3ttFQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"If you are a student, graduate or career change aspirant, and you are missing out on the skills to work in your dream job, this bootcamp is for you. Get trained and work on hands-on projects in our bootcamp to upskill yourself!

Training: Hands-on experience, Skill Certification, and project work at our German AI startup – Moyyn

What you will get from this program?

– Hands-on training and projects – in a German AI startup

– Learn and work – directly with founders and potential clients from Germany

– Do practical group Project work and build up experience in the domain

Modules

Hands-on training and projects:

Get trained directly from the Chief Product Officer of Moyyn and get hands-on training and projects

– AI Market landscape research for piloting new features

– New market entry

– Lean AI startup development

– Build an MVP

– Customer feedback analysis and interviews

– Project work

Product Management Training:

8 hours training by experienced product managers incl. guest speakers from Europe

– Fundamentals of Product Management

– Fundamentals of AI -Machine Learning

– Supervised vs unsupervised learing

– Generative AI and applications

– AI Product Strategy

– AI Business Model Innovation

– Lean startup methodology

– Pivoting principle

– Minimum Viable Product and Data

– Market research methodology

– Ideal Customer Profile

– Data strategy

– Product-market fit

– SCRUM methodology

– Product Management Tools

Career Guidance:

Get guidance on how to land a job

– Career sessions

– Job search platforms intro

– CV preparation

– Cover letter preparation

– Interview tips

Why join our AI Product Manager Training Program?

– Skill development: Learn the fundamentals of AI Product Development

– Career advancement: Get the confidence and training to switch your career to AI Product Manager

– Job opportunities: Increase your job opportunities, get referred by us to our clients and partners

– Real startup projects: Work directly with our CPO on real startup projects

– Networking Join our GATE community and build your network

A Bootcamp is an intensive training program where you will learn skills, tools, and technologies to tackle the needs of a job market. In addition to theoretical knowledge, you will mainly take part in working on hands-on projects which are from real startups which provide you with experience. Bootcamp is a skill certification program."
ai-product-manager-bootcamp-and-project-work-at-moyyn-3760428508,2023-11-07,AI Product Manager: Bootcamp and Project work,Moyyn,São Paulo e Região,https://br.linkedin.com/jobs/view/ai-product-manager-bootcamp-and-project-work-at-moyyn-3760428508?refId=O7kBJ5pj3z8Zrs0QsMplGg%3D%3D&trackingId=p545Wq9GU7N8ig3tsOqGvw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"If you are a student, graduate or career change aspirant, and you are missing out on the skills to work in your dream job, this bootcamp is for you. Get trained and work on hands-on projects in our bootcamp to upskill yourself!

Training: Hands-on experience, Skill Certification, and project work at our German AI startup – Moyyn

What you will get from this program?

– Hands-on training and projects – in a German AI startup

– Learn and work – directly with founders and potential clients from Germany

– Do practical group Project work and build up experience in the domain

Modules

Hands-on training and projects:

Get trained directly from the Chief Product Officer of Moyyn and get hands-on training and projects

– AI Market landscape research for piloting new features

– New market entry

– Lean AI startup development

– Build an MVP

– Customer feedback analysis and interviews

– Project work

Product Management Training:

8 hours training by experienced product managers incl. guest speakers from Europe

– Fundamentals of Product Management

– Fundamentals of AI -Machine Learning

– Supervised vs unsupervised learing

– Generative AI and applications

– AI Product Strategy

– AI Business Model Innovation

– Lean startup methodology

– Pivoting principle

– Minimum Viable Product and Data

– Market research methodology

– Ideal Customer Profile

– Data strategy

– Product-market fit

– SCRUM methodology

– Product Management Tools

Career Guidance:

Get guidance on how to land a job

– Career sessions

– Job search platforms intro

– CV preparation

– Cover letter preparation

– Interview tips

Why join our AI Product Manager Training Program?

– Skill development: Learn the fundamentals of AI Product Development

– Career advancement: Get the confidence and training to switch your career to AI Product Manager

– Job opportunities: Increase your job opportunities, get referred by us to our clients and partners

– Real startup projects: Work directly with our CPO on real startup projects

– Networking Join our GATE community and build your network

A Bootcamp is an intensive training program where you will learn skills, tools, and technologies to tackle the needs of a job market. In addition to theoretical knowledge, you will mainly take part in working on hands-on projects which are from real startups which provide you with experience. Bootcamp is a skill certification program."
especialista-t%C3%A9cnico-mil-at-sidia-instituto-de-ci%C3%AAncia-e-tecnologia-3760141507,2023-11-07,Especialista Técnico (MIL),Sidia Instituto de Ciência e Tecnologia,"Manaus, AM",https://br.linkedin.com/jobs/view/especialista-t%C3%A9cnico-mil-at-sidia-instituto-de-ci%C3%AAncia-e-tecnologia-3760141507?refId=O7kBJ5pj3z8Zrs0QsMplGg%3D%3D&trackingId=23zywF91Uxb54LT42OFl8Q%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"Formação Acadêmica

Ensino Superior completo em Engenharia Elétrica, Ciências da Computação e/ou áreas afins.
Mestrado é um diferencial.

Responsabilidades

Desenvolver e implementar modelos de aprendizado de máquina e deep learning para processamento e análise de áudio;
Trabalhar em colaboração com a equipe de pesquisa para inovar e aprimorar os modelos existentes;
Realizar análises e experimentos para avaliar a performance dos modelos desenvolvidos;
Contribuir para a pesquisa e desenvolvimento contínuos na área de Machine Learning e Deep Learning;
Participar de projetos multidisciplinares que envolvam o uso de modelos de áudio.

Requisitos

Experiência comprovada no desenvolvimento de projetos que envolvam modelos de áudio, como WaveNet e Tacotron, em contextos acadêmicos, profissionais ou por hobby;
Sólido conhecimento em Python;
Experiência em frameworks de Deep Learning, preferencialmente PyTorch ou TensorFlow.
Dominio do idioma inglês com capacidade de leitura, escrita e comunicação avançados.

Diferenciais

Publicações em conferências ou revistas relacionadas a Deep Learning, com enfoque em modelos de áudio;
Familiaridade com outras bibliotecas de processamento de áudio, como Librosa ou MIRtoolbox;
Experiência em projetos de processamento de linguagem natural ou visão computacional.

Idioma

Inglês Avançado.

Atuação: Manaus/AM."
