ID,DATA,TITULO,EMPRESA,LOCAL,LINK,DESCRICAO
pessoa-especialista-inteligencia-growth-at-bp-a-benefic%C3%AAncia-portuguesa-de-s%C3%A3o-paulo-3744446852,2023-10-20,PESSOA ESPECIALISTA INTELIGENCIA GROWTH,BP - A Beneficência Portuguesa de São Paulo,"São Paulo, SP",https://br.linkedin.com/jobs/view/pessoa-especialista-inteligencia-growth-at-bp-a-benefic%C3%AAncia-portuguesa-de-s%C3%A3o-paulo-3744446852?refId=IMfEdld6hXWKc2W2pTYhxQ%3D%3D&trackingId=vvp8bCoLPh4jZTeC2826cQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Excelente porque somos plurais! Cada pessoa que compõe a BP tem uma história de vida, uma trajetória, uma visão de mundo. E ao somarmos essas visões, vemos os desafios que temos de outros ângulos trazendo novas respostas para as velhas perguntas, e ajudando a fazer novas perguntas. É dessa forma que a inovação está sempre presente, de uma forma prática, funcional e que melhora a vida das pessoas. E assim vamos engrandecendo o nosso jeito de ser BP.

Responsabilidades e atribuições

Realizar análises aprofundadas dos dados das campanhas de marketing para identificar tendências, padrões, perfis comportamentais e oportunidades de melhoria (na jornada do paciente e de negócios);
Interpretar os resultados das análises e fornecer recomendações estratégicas para otimizar o desempenho das campanhas, maximizando o retorno do investimento (ROI) e a geração de resultados para o Hub de Saúde BP;
Desenvolver e implementar KPIs relevantes para mensurar o desempenho das campanhas de marketing, junto com o time de DBM, analisando diferentes públicos e utilizando ferramentas de análise de dados para extrair e visualizar dados relevantes;
Criar relatórios e outros painéis de controle para monitorar o desempenho das campanhas de marketing e suas conversões para o Hub de Saúde BP, comunicando os resultados para todas as partes interessadas;
Colaborar com as equipes de marketing e demais áreas de interface, para entender os objetivos de negócios, estratégicas de marca e campanhas relacionadas, fornecendo insights valiosos que direcionem a tomada de decisões;
Realizar testes A/B e experimentos para avaliar a eficácia de diferentes estratégias e táticas de marketing;
Manter-se atualizado sobre as melhores práticas em análise de dados e tendências no campo do


marketing/marketing digital.

Requisitos e qualificações

Superior Completo em Marketing, Administração, Engenharia, Estatística ou cursos correlatos.
Desejável pós-graduação em Marketing, Digital, Gestão de Negócios, Gestão de Projetos e Business Inteligence.
Conhecimentos Específicos em Pacote Office, KPIs Estatística, vivência na área Marketing Digital Data Science /Análise de dados.
Desejável: Marketing Cloud (Salesforce), área hospitalar e estatística e Inglês avançado.


Informações adicionais

Carga Horária: 08:00 ás 18:00 (seg a quin)- 08:00 ás 17:00 (Sex)- 44hs- 220hs

Modelo Trabalho: Hibrido

Local de trabalho: Adm. Martiniano (Prox. estação Vergueiro)



O que oferecemos?

Vale Transporte

Vale Alimentação

Refeitório no local

Assistência Médica

Assistência Odontológica

Auxílio Creche

Total Pass: Uma plataforma de benefícios que dá acesso a academias e estúdios de diversas modalidades para o colaborador e dependentes.

Viva 365: Ações e programas no âmbito das 5 saúdes - emocional, intelectual, físico, social e financeiro. Tais como:

Programas de saúde da mulher (acompanhamento de gestantes e planejamento familiar), ações de ergonomia e ginástica laboral, parceria SESC – Programação Bem-Estar, espaço do colaborador, corrida e caminhada.

PAP (Programa de Apoio Pessoal)- canal de comunicação formado por uma ampla equipe de especialistas (psicólogos, assistentes sociais, advogados, pedagogos, nutricionistas, fisioterapeutas, educadores físicos, consultores financeiros e pet consultores).

Núcleo de Saúde do Colaborador- serviço de telemedicina, pronto atendimento e agendamentos exclusivo para colaboradores com médicos generalistas, psicólogos, fisioterapeutas e acupuntura dentro da BP.

Dia do profissional da saúde: 12 de Maio é considerado feriado para a categoria, colaboradores que trabalharem nesta data terão direito a compensação conforme critérios definidos em Convenção Coletiva.

Convênios e parcerias: Parceria com estabelecimentos de diversos segmentos para desconto, acesse a lista atualizada no Workplace, nosso canal de comunicação interna."
cientista-de-dados-sr-at-genial-investimentos-3744523108,2023-10-20,Cientista de Dados Sr,Genial Investimentos,"São Paulo, SP",https://br.linkedin.com/jobs/view/cientista-de-dados-sr-at-genial-investimentos-3744523108?refId=IMfEdld6hXWKc2W2pTYhxQ%3D%3D&trackingId=bZ45KERhoXyEBEIm3mG94Q%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"Buscamos profissionais que tenham vontade de crescer, colocar a mão na massa e fazer acontecer. Vivemos um momento único, recheado de desafios e oportunidades para agregar ainda mais valor aos nossos clientes. Se você tem esse perfil e essa ambição, inscreva-se nesta vaga e junte-se a nós para construir o futuro do mercado financeiro.

#VemSerGenial

Responsabilidades e atribuições

A posição é capaz de resolver questões complexas com autonomia e lidar com desafios. A posição demonstra um grau de flexibilidade para solucionar questões que exigem um profundo manuseio de todas as técnicas, processos e ferramentas dentro do campo de especialização. A posição lidera regularmente profissionais menos experientes em projetos importantes, fornecendo-lhes instruções e orientação em todos os aspectos envolvidos nos projetos, garantindo a qualidade dos resultados. A posição é autossuficiente, capaz de identificar questões-chave e prioridades na busca de resultados com o mínimo direcionamento.
Usar análises preditivas e técnicas de modelagem estatística e machine learning para resolver problemas de negócio complexos e criar produtos de dados; Identificar e aplicar algoritmos e técnicas de estatísticas corretas para os problemas; Analisar e explorar os dados para geração de insights para o negócio; Monitorar performance e melhorar modelos já existentes; Conversar com os PM's, BA’s e responsáveis pelas áreas de negócios identificando oportunidades de aplicações de machine learning que possam agregar valor ao negócio;


Requisitos e qualificações

Formado em Estatística, Matemática, Engenharia, Ciências da Computação, ou áreas correlatas
experiência em Ciência de Dados
Experiência trabalhando com grande base de dados
Experiência com programação
Proficiência em alguma linguagem de programação
Conhecimento em sistemas de recomendação
Programação em python para desenvolvimento de modelos (usamos sikit-learn e statsmodels
Conhecimento de manipulação de dados em SQL avançado para manipulação de grandes volumes de dados


Desejável

pyspark e databricks
Azure Devops / Git
Experiência no Mercado Financeiro
Conhecimentos em Deep Learning


Informações adicionais

Assistência Médica

Assistência Odontológica

Vale Refeição

Vale Alimentação

Seguro de Vida

Total Pass

GymPass

PLR

Modelo Hibrido | São Paulo - SP"
analista-de-planejamento-pl-at-harpia-human-capital-3739485925,2023-10-20,Analista de Planejamento PL,Harpia Human Capital,"Rio de Janeiro, RJ",https://br.linkedin.com/jobs/view/analista-de-planejamento-pl-at-harpia-human-capital-3739485925?refId=IMfEdld6hXWKc2W2pTYhxQ%3D%3D&trackingId=ZK7MjsRWLdrHEymzTfsBHQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"Estamos auxiliando um de nossos clientes do varejo na busca de um profissional Analista de Planejamento Pleno.

Você será responsável por elaborar a previsão de vendas da empresa, tanto em níveis agregados quanto granulares. Participará da elaboração e acompanhamento de KPIs relacionados à área comercial.

Deverá ser apto a realizar análises e estudos com base nos dados disponíveis com fins de obter insights para o aumento da rentabilidade da empresa.

A empresa é um importante Amazon Seller de alcance global, portanto, ser fluente em inglês é essencial e experiência anterior na Amazon ou outro e-commerce/marketplace serão bem-vindos.

Formação em áreas como Engenharia, Ciência da Computação, Estatística, Economia;
Pós-graduação em Data Science ou outra formação relacionada será considerado um diferencial;
Experiência na utilização de ferramentas como Excel, VBA, PowerBI, SQL, Google Sheets e ser capaz de não apenas extrair dados, mas também desenvolver relatórios e dashboards para auxiliar na tomada de decisões estratégicas;
Conhecer a linguagem R para análise estatística destacará você;
Boa comunicação, organização, trabalho em equipe e atenção aos detalhes."
intelig%C3%AAncia-de-mercado-at-hecke-import-3744439019,2023-10-20,Inteligência de mercado,Hecke Import,"Curitiba, PR",https://br.linkedin.com/jobs/view/intelig%C3%AAncia-de-mercado-at-hecke-import-3744439019?refId=IMfEdld6hXWKc2W2pTYhxQ%3D%3D&trackingId=Z%2F%2Fsuh%2FebKgbsb8NEM%2F%2F1Q%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"A HECKE IMPORT está em busca de Profissional de Business Intelligence, com experiência em desenvolvimento de dashboards e Power BI, realizando o ciclo completo de ETL (extração, transformação e carga de dados) e apresentando relatórios executivos. Aptidão completa para interação com diretores e colaboradores, levantamento de requisitos, preparação de data warehouse, produzindo análise de relatórios de inteligência, posicionamento de mercado e identificação de oportunidades comerciais



Responsabilidades e Atribuições

Análise de mercado com dados primários e secundários;
Coleta, tratamento de dados e manutenção de dashboards em Power BI;
Preparar e fazer apresentações;
Monitorar o plano de ações para entrega de resultados;
Monitorar KPIs para atingimento de objetivos.



Requisitos e Qualificações

Ensino Superior Completo em Economia, Administração, Engenharia ou áreas correlatas;
Experiência comprovada de no mínimo 03 anos em varejo e/ou indústria de bens de consumo no canal alimentar;
Facilidade analítica para leitura de dados;
Desenvoltura para fazer apresentações;
Competências em Data Science · Pesquisa de mercado · Análise de dados · Power BI · Scanntech · Nielsen · Euromonitor;
Perfil analítico.



Outras Qualificações:

Proativas - Com disposição a aprender diariamente;
Empáticas: Bons ouvintes e atento as necessidades e emoções;
Que gosta de trabalhar em equipe;
Comunica-se bem e preza pela interação com todos os departamentos;
Que gosta de se desafiar, disposto a gerar insights para solução de problemas;
Que agregue valor: Demonstra pensamento inovador e coloca esforço em criar e compartilhar as melhores práticas;
Com perfil orientado a resultados.




Imprescindível:

Residir no máximo 10 km de distância do Bairro São Braz em Curitiba/PR ou possuir veículo (meio de transporte).



Oferecemos:

Regime: CLT ou PJ.



Processo Seletivo:


Encaminhar currículo para rh@hecke.com.br com pretensão salarial;

Informar no Assunto Vaga: Inteligência de Mercado"
consultor-de-automa%C3%A7%C3%A3o-at-v-tal-3742861273,2023-10-20,Consultor de Automação,V.tal,"São Paulo, SP",https://br.linkedin.com/jobs/view/consultor-de-automa%C3%A7%C3%A3o-at-v-tal-3742861273?refId=IMfEdld6hXWKc2W2pTYhxQ%3D%3D&trackingId=qWFxKGylmn0Q1bUZdhH3Hw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Description

Somos um time de alta performance e buscamos contribuir para um futuro cada vez mais conectado. Esta vaga busca um profissional que terá atuação estratégica e analítica e suportará as tomadas de decisão na Operação. Dentre os desafios, destacam-se:

Identificar e desenvolver automações que otimizem o tempo e auxiliem nas tomadas de decisão da Operação;
Desenvolver automações de rotinas diárias dos indicadores da Operação;
Realizar condução de reuniões multidisciplinares e interagir com clientes internos e externos;
Liderar uma equipe multidisciplinar;
Garantir as entregas e o cumprimento de metas.

Responsibilities and assignments

Trabalhar com todos KPIs da Operação;
Atuar na extração de relatórios e modelagem de dados;
Desenvolver automações em plataformas de visualização de dados;
Fazer a gestão de projetos de alta complexidade;
Mapear processos e propor melhorias;
Realizar reuniões semanais para acompanhamento de metas e entregas;

Requirements And Qualifications

Graduação completa em Engenharia Elétrica, Telecomunicações, TI ou similares;
Pós Graduação e/ou MBA Machine Learning/Visual Analytics;
Conhecimento avançado em ferramentas e linguagens como Python, SQL, Power BI e Google Cloud Plataform (GCP);
Experiência nas etapas de desenvolvimento levantamento de requisitos, modelagem, implementação de ETL e de dashboards;
Experiência em Gestão de Projetos e Data Analytics;
Pacote Office avançado (Power Point e Excel - Macro, VBA)
Conhecimentos em processos e aplicações das metodologias ágil;
Experiência no ramo de Telecomunicações (desejável);
Experiência em Infraestrutura e Topologia de Rede Óptica (desejável);
Inglês avançado (desejável).

Additional information

Benefícios

Vale Alimentação e/ou Refeição
Vale Transporte
Assistência Médica
Assistência Odontológica
Seguro de Vida
Previdência Privada
Programa de participação nos resultados (PPR)
Auxílio Farmácia
Auxílio creche
Flexibilidade de horário
Clube de Vantagens V.tal
Licença maternidade estendida (6 meses)
Licença paternidade estendida (20 dias)

Local De Trabalho

São Paulo - Casa do Ator, 919
Modelo de trabalho 100% presencial

O futuro passa por aqui e é com você que iremos construí-lo

Nós somos a V.tal, uma empresa que nasceu com o propósito de viabilizar a conexão com o mundo digital transformando a vida das pessoas. Trabalhamos para ajudar a incluir o Brasil no topo da lista dos países mais digitalizados do mundo, promovendo a inclusão digital, impulsionando novos negócios e estimulando o desenvolvimento regional.

E isso é possível porque já nascemos com a maior rede de fibra ótica do Brasil e com um time que faz acontecer. Somos uma rede neutra, compartilhada com operadoras, provedores e parceiros de todos os tamanhos e regiões. E isso nos enche de orgulho. Toda essa robustez nos permite oferecer abrangência e capilaridade para os nossos clientes irem mais longe, otimizando seus investimentos.

NOSSO TIME

Somos conectados, ágeis e direcionados pelo excelente resultado. Nosso ambiente de trabalho é leve porque é formado por pessoas que colaboram entre si, confiam umas nas outras e vibram por cada conquista. Aqui nós não damos desculpas, buscamos a solução. É com essa equipe de alta performance que trabalhamos diariamente para incluir o Brasil no topo da lista dos países mais digitalizados do mundo, promovendo a inclusão digital, o desenvolvimento econômico e social das pessoas.

CONFIRA OS NOSSOS PRINCÍPIOS

Jogamos limpo, confiamos uns nos outros.

Evolução e aprendizado constante é nosso mantra. Sem aprendizado, não há evolução.

Somos obcecados pela excelência e alta performance. A busca pelo resultado acontece diariamente em cada decisão.

Work hard, play hard! Somos focados e temos um ambiente saudável.

SE IDENTIFICOU COM A NOSSA PROPOSTA? ENTÃO VEM CONSTRUIR O FUTURO COM A GENTE HOJE!"
crm-and-loyalty-specialist-at-dunnhumby-3692916777,2023-10-20,CRM and Loyalty Specialist,dunnhumby,"São Paulo, SP",https://br.linkedin.com/jobs/view/crm-and-loyalty-specialist-at-dunnhumby-3692916777?refId=IMfEdld6hXWKc2W2pTYhxQ%3D%3D&trackingId=i2doPOZBds2jia%2BaxUIX3Q%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"dunnhumby is the global leader in Customer Data Science, empowering businesses everywhere to compete and thrive in the modern data-driven economy. We always put the Customer First.

Our mission: to enable businesses to grow and reimagine themselves by becoming advocates and champions for their Customers. With deep heritage and expertise in retail – one of the world’s most competitive markets, with a deluge of multi-dimensional data – dunnhumby today enables businesses all over the world, across industries, to be Customer First.

dunnhumby employs nearly 2,500 experts in offices throughout Europe, Asia, Africa, and the Americas working for transformative, iconic brands such as Tesco, Coca-Cola, Meijer, Procter & Gamble and Metro.

We’re looking for a CRM and Loyalty Specialist. You will work closely with Client CRM and Marketing area to understand the needs of assigned client(s), identify solutions, present recommendations and develop the Customer Engagement workplan. Deliver on the Customer Engagement workplan for assigned client(s), developing and managing key stakeholder relationships. Using data to identify opportunities, drive powerful customer experiences and develop impactful communication plans. Lead the personalisation strategy and execution alongside client’s CRM area. Support up-sell and on-sell for Customer Engagement work within assigned client(s).

What We Expect From You
Experience in CRM planning and execution desired
Support with putting strategy into action with clearly defined processes and implementation plans, both internally and for the client
Support the improvement of personalized offers
Utilize customer engagement tools to drive insightful recommendations to retailers (Campaign management)
Analyze results and recommend improvements - both operational and strategic
Expedite the resolution of customer problems and complaints to maximize satisfaction
Gather internal and external benchmarks to understand available solutions in the market and around the world
Bachelor’s degree or equivalent in any subject
What You Can Expect From Us

We won’t just meet your expectations. We’ll defy them. So you’ll enjoy the comprehensive rewards package you’d expect from a leading technology company. But also, a degree of personal flexibility you might not expect. Plus, thoughtful perks, like flexible working hours and your birthday off.

You’ll also benefit from an investment in cutting-edge technology that reflects our global ambition. But with a nimble, small-business feel that gives you the freedom to play, experiment and learn.

And we don’t just talk about diversity and inclusion. We live it every day – with thriving networks including dh Gender Equality Network, dh Proud, dh Family, dh One and dh Thrive as the living proof. Everyone’s invited.

Our approach to Flexible Working

At dunnhumby, we value and respect difference and are committed to building an inclusive culture by creating an environment where you can balance a successful career with your commitments and interests outside of work.

We believe that you will do your best at work if you have a work / life balance. Some roles lend themselves to flexible options more than others, so if this is important to you please raise this with your recruiter, as we are open to discussing agile working opportunities during the hiring process.

For further information about how we collect and use your personal information please see our Privacy Notice which can be found (here)"
analista-de-modelagem-de-riscos-s%C3%AAnior-at-sicoob-3744407983,2023-10-20,Analista de Modelagem de Riscos - Sênior,Sicoob,"Brasília, DF",https://br.linkedin.com/jobs/view/analista-de-modelagem-de-riscos-s%C3%AAnior-at-sicoob-3744407983?refId=IMfEdld6hXWKc2W2pTYhxQ%3D%3D&trackingId=2f%2F4fMNVMFTM5N1CJdBiWA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"É possível transformar o mundo?

Com o Sicoob, Sistema de Cooperativas de Crédito do Brasil, essa mudança é diária, real e tem explicação: o cooperativismo!

Afinal, ninguém muda o mundo sozinho, por isso, a contribuição de todos faz a diferença.
Aqui, nosso propósito é conectar pessoas para promover justiça financeira e prosperidade. E nossa missão é proporcionar soluções e experiências inovadoras e sustentáveis por meio de cooperação.
Você pode fazer parte desse propósito e contribuir, diariamente, com a nossa missão.

A área de Modelagem de Riscos é responsável por desenvolver e gerenciar modelos de mensuração de riscos (crédito, prevenção à fraude, PLD), além de realizar estudos e análises estatísticas de forma a apoiar o processo de Gestão Integrada de Riscos do Sicoob.

Atividades
Extrair, tratar e realizar análise descritiva de dados estatísticos para a apoiar nas tomadas de decisões no contexto de Gestão Integrada de Riscos;
Manipular de dados em SAS, SQL, Python ou R;
Desenvolver modelos estatísticos;
Aplicar técnicas e análises multivariadas;
Desenvolver modelos de Machine Learning que auxiliem nos processos de avaliação de riscos;
Desenvolver modelos de renda presumida e perda esperada;
Elaborar estudos quantitativos, relatórios estatísticos e apresentações;
Apoiar na orientação técnica dos demais colaboradores da área no desempenho de suas atividades;
Propor melhorias nas metodologias e processos de responsabilidade da área.

Requisitos Obrigatórios
Linguagem de programação SAS/R ou Python;
Modelagem de Risco (Ênfase em Risco de Crédito);
SQL;
Inglês;
Ensino superior completo em Estatística, Matemática, Ciência da Computação, Engenharias ou áreas correlatas.

Requisitos Desejáveis
Risco de Crédito;
IFRS9;
Prevenção a Fraude;
Prevenção a Lavagem de Dinheiro.

Vivências/Experiências
Experiência com manipulação de bases de dados, análise estatística, Machine Learning/modelagem preditiva, modelagem com foco em risco de crédito/IFRS9 renda presumida.

Aqui promovemos a inclusão social e valorizamos as diferenças.
Por isso, todas as nossas vagas são elegíveis a Pessoas com Deficiência (PcD).

Os benefícios do cooperativismo têm explicação!
Benefícios: Auxílio-Creche/ Babá, Bolsa de Estudos para Graduação e Pós-Graduação, Cesta Natalina, Day off - fim de ano, Gympass, Licença maternidade estendida, Licença paternidade estendida, Participação nos Resultados (anual), Plano de Saúde, Plano Odontológico, Previdência Privada Multipatrocinada, Programa de Desenvolvimento de Soft e Hard Skills, Programa de Mobilidade Interna - Match Oportunidades Internas, Programa Viver Bem, Seguro de Vida, Universidade Corporativa Sicoob, Vale-alimentação, Vale-refeição, Vale-transporte (opcional)

Company: Centro Cooperativo Sicoob - CCS"
associate-manager-global-analytics-at-iqvia-3729815546,2023-10-20,"Associate Manager, Global Analytics",IQVIA,"São Paulo, SP",https://br.linkedin.com/jobs/view/associate-manager-global-analytics-at-iqvia-3729815546?refId=IMfEdld6hXWKc2W2pTYhxQ%3D%3D&trackingId=SyHWLldnzFidiNwpQ58pig%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"The Global Analyst (as an individual contributor) will perform, manage, and coordinate activities associated with data analysis leveraging IQVIA’s Connected Intelligence™ Real-World Data (RWD) and clinical data assets for multiple Research & Development projects while closely working with our team of Therapeutic Analytic Leads. They will also ensure standardization in how IQVIA uses data, tools, and process to inform quality decision making at the indication, program, and study level.

Responsibilities:
Utilizes the IQVIA Connected-intelligence data sets and resources to define and enhance the strategy.
Drives the methodology and implementation of Strategic Analytics deliverables, including, country evaluation and ranking, competitive landscape, and patient density analytics amongst other areas.
Supports pre-award and post-award studies by driving data mining and data analytic oriented activities.
Generates patient insights using real-world data to support site targeting activities
Participates in the analytics planning with internal stakeholders to align on requirement for data analytics that will inform decisions on the development of the study strategy.
Coordinates the collection of internal and external site outreach data to support the assessment needs of country global analysis.
Essential Experience
Bachelor’s and/or Master’s degree in Life Sciences, Information Technology, Computer Science, Statistics or equivalent
At least 5 years of relevant experience or exposure to data analytics, research, and/or consulting in the pharma/healthcare industry
Experience working with large volumes of global Real-World Data (RWD)
Good understanding of the pharmaceutical and healthcare
Therapy Area exposure
Exposure to analytical issues relating to studies of treatment effectiveness, disease progression, adherence, healthcare utilization, etc.
Required Technical Skills
Strong experience working in clinical trials with data analysis.
Proficient in using MS Excel and MS PowerPoint. Other type of experience using SQL, Oracle, Python, Sparkle, etc are a nice-to-have, but not mandatory.
Advanced level of English
IQVIA is a leading global provider of advanced analytics, technology solutions and clinical research services to the life sciences industry. We believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world. Learn more at https://jobs.iqvia.com"
cientista-de-dados-senior-vaga-afirmativa-para-mulheres-remoto-at-netvagas-3744563915,2023-10-20,Cientista de dados senior vaga afirmativa para mulheres remoto,Netvagas,"Curitiba, PR",https://br.linkedin.com/jobs/view/cientista-de-dados-senior-vaga-afirmativa-para-mulheres-remoto-at-netvagas-3744563915?refId=IMfEdld6hXWKc2W2pTYhxQ%3D%3D&trackingId=hyu2n1bSq%2B0UZv1Kzrx5AA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"O QUE PRECISAMOSVasta experiência com AWS (outros ambientes Cloud são um plus).Conhecimento profundo em ferramentas e serviços da AWS como S3, SageMaker, Lambda, Glue, Athena, entre outros.Capacidade comprovada de implementar soluções de análise de dados em AWS.Forte domínio em linguagens de program..."
associate-manager-site-analytics-at-iqvia-3744130698,2023-10-20,"Associate/Manager, Site Analytics",IQVIA,"São Paulo, SP",https://br.linkedin.com/jobs/view/associate-manager-site-analytics-at-iqvia-3744130698?refId=IMfEdld6hXWKc2W2pTYhxQ%3D%3D&trackingId=J1lXZIjVVux75dAVZ%2BmIjg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,"We're hiring an Associate/Manager, Site Analytics!

Looking for creative minds that want to use their analytical talents to make a difference in the lives of clinical trial patients around the world!

Job Overview

IQVIA helps drive healthcare forward by creating intelligent connections with an expansive portfolio of capabilities technologies, unparalleled data, and global healthcare expertise.

If Human Data Science sounds intriguing to you, you need to join our team!

You will partner with our clinical study teams and perform data mining and analysis of historical IQVIA clinical performance data, global real-world data, and available external data sets to drive site identification for the assigned clinical projects in specific therapeutic area(s). Through these analyses, you will formulate recommendations and present findings to internal and external stakeholders on best approaches for data-driven site identification. You will participate in process improvement and technology development efforts to further improve IQVIA’s ability to select the best healthcare providers to participate in Phase 1-Phase 3 clinical trials. You may train and mentor junior staff.

Essential Functions
Accountable for ensuring IQVIA strategy planning services relevant to site identification are providing a competitive edge in winning new business.
Take independent responsibility for providing insights towards the development of site, country and enrollment strategies in support of the assigned opportunities including, but not limited to, requests for proposals, early engagements, re-bids and awarded studies.
Conduct complex research using databases, scientific literature, the internet, and expert medical knowledge and using internal and external systems.
Participate in collaborative planning meetings with internal stakeholders including Medical Directors, Therapeutic Strategy Leads, Project Leadership, Site Identification Leads, Business Developers and Program Directors.
Present results of data gathering and analysis activities and recommend solutions to resolve issues.
In collaboration with strategy and operational teams, supports the development of materials related to site strategies for internal customers and for inclusion in customer facing materials.
Undertake therapeutic training, as necessary, and keep abreast of developments in clinical research.
May serve as a subject matter expert for planning tools and data, demonstrate in depth understanding of system features, and functions to know what features are best used to accomplish an accurate country, site, or enrollment strategy.
May have alignment with key IQVIA accounts to provide site identification expert support.
May maintain regular communication with staff in assigned therapeutic areas on non-project issues such as development of therapeutic networks, business strategy, pipelines / planning performance trends across all studies.
May train, support, and mentor new team members.
Performs other tasks as required.
Minimum Required Qualifications And Experience
Bachelor's degree in life sciences or related field with 3-5 years’ (Associate Manager) or 5-7 years’ (Manager) relevant experience in the pharmaceutical or CRO companies, including at least 1 year (Associate Manager) or 2 years (Manager) in a lead position and demonstrable experience in an international role; or equivalent combination of education, training and experience.
Experience in clinical data analysis and interpretation.
Required Knowledge, Skills, And Abilities
Strong analytical skills and ability to understand, assess, and analyze data from divergent sources to provide an assimilation of data leading to conclusions and recommendations
Knowledge of the drug development processes. Knowledge and ability to apply GCP / ICH and applicable regulatory guidelines
Knowledge of CTMS and other internal databases, preferred
Some knowledge of clinical research financial parameters and project financial tracking and accounting methods
Leadership and consulting skills
Effective verbal communication, writing and presentation skills. Excellent command of English
Some experience in process improvement techniques
Computer skills including proficiency in aspects of data analysis and presentation software
Strong interpersonal skills. Ability to establish and maintain effective working relationships with coworkers, managers and clients
IQVIA is a leading global provider of advanced analytics, technology solutions and clinical research services to the life sciences industry. We believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world. Learn more at https://jobs.iqvia.com"
