ID,DATA,TITULO,EMPRESA,LOCAL,LINK,DESCRICAO
data-science-sr-cientista-de-dados-sr-at-grupo-qualiconsig-3740892605,2023-10-17,Data Science Sr (Cientista de Dados Sr.),Grupo Qualiconsig,"São Paulo, SP",https://br.linkedin.com/jobs/view/data-science-sr-cientista-de-dados-sr-at-grupo-qualiconsig-3740892605?refId=4tbCN4k1UGz4TShlLrg3tg%3D%3D&trackingId=S7XQjULvkAKc%2FVjSsMjE%2BQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"SOMOS O GRUPO QUALICONSIG!🚀💙

Aqui você é a nossa prioridade! Nossos princípios e pautas são baseados em pessoas, com isso, se você busca um lugar que valorize seu autodesenvolvimento e suas pluralidades, aqui é o lugar certo!

CARGO: DATA SCIENCE SR. (CIENTISTA DE DADOS SR) 📊

RESPONSABILIDADES E ATRIBUIÇÕES:
🚀 Desenvolver projetos em pesquisa aplicada; Elaborar planos detalhado, incluindo o escopo, dashboards, cronograma, monitoramento e; definição clara e mensurável fornecendo insights e soluções para tomada de decisão ;Elaborar análises estatísticas (análises descritivas, modelos preditivos e modelos explicativos).
🚀 Atuando com equipes multifuncionais e parceiros de negócios para definir a declaração do problema técnico e as hipóteses a serem testadas. Aplicar modelos analíticos eficientes e precisos que imitam as decisões de negócios e incorporam esses modelos em produtos e ferramentas de dados analíticos. Direcionar a estratégia atual e futura, para garantir o valor do negócio e comunicar os resultados.


REQUISITOS E QUALIFICAÇÕES:
⚠️ É necessário ser graduado ou ter tecnólogo em Ciência de Dados, Sistemas da Informação ou áreas correlatas;
⚠️ Será um diferencial ter MBA ou especialização em Analises estatísticas;
⚠️ Será um diferencial ter atuado com área financeira (correlacionado à bancos ou correspondentes bancárias);

⚠️ Experiências necessárias ou conhecimento avançado:
Programação em R e Python, Modelagem Estatística, Machine Learning, Análises Estatísticas, Text Mining, NLP, Automação, Visualizações, Desenvolvimento de aplicações Web e Dashboards (utilizando biblioteca Shiny), Banco de Dados, SQL , MySQL , PHP , PHPMyAdmin , PowerBI entre outros

Salário: à combinar (Estamos trabalhando com pretensão salarial, independentemente da sua pretensão, podemos alinhar e validar);

Benefícios: 
🍔 VR 23,47 (Vale refeição);
🚌 VT ( Vale transporte);
💸 Premiações por Campanhas e avaliações comerciais.
🦷 Plano Odontológico (Sindicato);
🖤Seguro de Vida;
🏊🏼‍♀️Convênio com o SESC;
💰PLR (Anual- Sindicato);

Após o período de experiência:
🛒VA 126,00 (Vale Alimentação);
🛍️Cesta básica;
💪🏽TotalPass;
💊Convênio farmácia;
🏥e após 6 meses, você irá adquirir automaticamente o plano de saúde do Grupo Notredame Intermédica.

Modelo de atuação: Totalmente - PRESENCIAL.
Local: Carrão/Tatuapé - Zona Leste de São Paulo - SP.
Horário de trabalho: Segunda a Sexta 09h00min às 18h48min

Se interessou? Candidate-se por aqui ou encaminhe seu currículo via e-mail: pedro.santos@qualiconsig.com.br

VENHA FAZER PARTE DESSE TIME DE SUCESSO!"
data-scientist-s%C3%AAnior-curitiba-at-grafton-recruitment-3741948294,2023-10-17,Data Scientist Sênior - Curitiba,Grafton Recruitment,"Curitiba, PR",https://br.linkedin.com/jobs/view/data-scientist-s%C3%AAnior-curitiba-at-grafton-recruitment-3741948294?refId=4tbCN4k1UGz4TShlLrg3tg%3D%3D&trackingId=JabZeF6wsLhYj8bz7ZSvSQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"Nosso cliente está buscando um Data Scientist Sênior para atuar diretamente com Projeção. Alocado na área de crédito e riscos em um grande Banco Nacional, na cidade de Curitiba - Paraná, com oportunidade para quem busca crescimento na carreira profissional.

Principais Atribuições
Gestão da ferramenta SAS.
Desenvolvimento de projeções e dados financeiros.
Gestão de SQL e Python.
Gestão das novas normas IFRS 9.
Suporte ao Gerente da área.
Estudo de risco de crédito.

Qualificações
Graduação em Estatística, Matemática, Física, Ciências Atuariais e Engenharias ou demais áreas de exatas.
Experiência em big data, analytics, data science.
Conhecimento na linguagem R.
Desempenho de liderança e influência junto ao time.
Disponibilidade para estar presente no escritório 3x por semana (Híbrido)."
senior-data-scientist-at-grupo-qualiconsig-3741106162,2023-10-17,Senior Data Scientist,Grupo Qualiconsig,"São Paulo, Brasil",https://br.linkedin.com/jobs/view/senior-data-scientist-at-grupo-qualiconsig-3741106162?refId=4tbCN4k1UGz4TShlLrg3tg%3D%3D&trackingId=fcAmkMllNpJfI25ARVqYaw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"SOMOS O GRUPO QUALICONSIG!🚀💙
Aqui você é a nossa prioridade! Nossos princípios e pautas são baseados em pessoas, com isso, se você busca um lugar que valorize seu autodesenvolvimento e suas pluralidades, aqui é o lugar certo!

CARGO: DATA SCIENCE SR. (CIENTISTA DE DADOS SR) 📊

RESPONSABILIDADES E ATRIBUIÇÕES:
🚀 Desenvolver projetos em pesquisa aplicada; Elaborar planos detalhado, incluindo o escopo, dashboards, cronograma, monitoramento e; definição clara e mensurável fornecendo insights e soluções para tomada de decisão ;Elaborar análises estatísticas (análises descritivas, modelos preditivos e modelos explicativos).
🚀 Atuando com equipes multifuncionais e parceiros de negócios para definir a declaração do problema técnico e as hipóteses a serem testadas. Aplicar modelos analíticos eficientes e precisos que imitam as decisões de negócios e incorporam esses modelos em produtos e ferramentas de dados analíticos. Direcionar a estratégia atual e futura, para garantir o valor do negócio e comunicar os resultados.

REQUISITOS E QUALIFICAÇÕES:
⚠️ É necessário ser graduado ou ter tecnólogo em Ciência de Dados, Sistemas da Informação ou áreas correlatas;
⚠️ Será um diferencial ter MBA ou especialização em Analises estatísticas;
⚠️ Será um diferencial ter atuado com área financeira (correlacionado à bancos ou correspondentes bancárias);

⚠️ Experiências necessárias ou conhecimento avançado:
Programação em R e Python, Modelagem Estatística, Machine Learning, Análises Estatísticas, Text Mining, NLP, Automação, Visualizações, Desenvolvimento de aplicações Web e Dashboards (utilizando biblioteca Shiny), Banco de Dados, SQL , MySQL , PHP , PHPMyAdmin , PowerBI entre outros

Salário: à combinar (Estamos trabalhando com pretensão salarial, independentemente da sua pretensão, podemos alinhar e validar);

Benefícios:
🍔 VR 23,47 (Vale refeição);
🚌 VT ( Vale transporte);
💸 Premiações por Campanhas e avaliações comerciais.
🦷 Plano Odontológico (Sindicato);
🖤Seguro de Vida;
🏊🏼‍♀️Convênio com o SESC;
💰PLR (Anual- Sindicato);

Após o período de experiência:
🛒VA 126,00 (Vale Alimentação);
🛍️Cesta básica;
💊Convênio farmácia;
💪🏽TotalPass;
🏥Convênio Médico - Grupo Notredame Intermédica.

Modelo de atuação: Totalmente - PRESENCIAL.
Local: Carrão/Tatuapé - Zona Leste de São Paulo - SP.
Horário de trabalho: Segunda a Sexta 09h00min às 18h48min

Se interessou? Candidate-se por aqui ou encaminhe seu currículo via e-mail: pedro.santos@qualiconsig.com.br

VENHA FAZER PARTE DESSE TIME DE SUCESSO!"
machine-learning-architect-at-caylent-3727849925,2023-10-17,Machine Learning Architect,Caylent,Brasil,https://br.linkedin.com/jobs/view/machine-learning-architect-at-caylent-3727849925?refId=4tbCN4k1UGz4TShlLrg3tg%3D%3D&trackingId=5b58qZyF45Dff1sUSmDkfw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"Caylent is a cloud native services company that helps organizations bring the best out of their people and technology using Amazon Web Services (AWS). We provide a full-range of AWS services including: workload migrations & modernization, cloud native application development, DevOps, data engineering, security & compliance and everything in between. At Caylent, our people always come first.

We are a fully remote global company with employees in Canada, the United States and Latin America. We celebrate the culture of each of our team members and foster a community of technological curiosity. Come talk to us to learn more about what it means to be a Caylien!

The Mission

At Caylent, a Machine Learning Architect works as an integral part of a cross-functional delivery team to design and document machine learning solutions on the AWS cloud for our customers. We are looking for someone that has a strong understanding of the various model types and tools, and can help our customers connect their business goals with the details of feature design, model training and inference. You will also have a weekly 1:1 with your manager to help guide you in your career and make the most of your time at Caylent.

Your Assignment

Work with a team to deliver machine learning solutions on AWS for customers
Decompose business goals into architecture and Sprint-level tasks
Having had thorough hands on experience, lead engineers in building solutions
Participate in daily standup meetings and address technical issues
Design and document ML models, MLOps, and analytics
Big data processing and preparation of training data for models

Your Qualifications
At least 5 years of hands on experience in most of these ML tools/techniques:
Build ML models in SageMaker
Build ML models in frameworks like Tensorflow & PyTorch and deploy in SageMaker
Train and deploy AWS pre-trained AI Services and Foundational Models
Build and optimize models using feature definition, activation functions, hyperparameter tuning and other techniques
Integrate ML models into real-time applications and batch workflows, recommend better infrastructure design and optimization
Monitor, evaluate and continuously improve model performance, as well as automate these tasks using one or more tools for MLOps
Hands on experience in these data engineering tools/techniques:
Data integration, cleansing, transformation, and visualization using Python packages, SQL etc.
AWS services such as Glue, EMR, Athena, DynamoDB, StepFunctions, EKS etc
Experience with an IaC tool such as CloudFormation, CDK or Terraform
Excellent written and verbal communication skills

Benefits

Pay in USD
100% remote work
Generous holidays and flexible PTO
Competitive phantom equity
Paid for exams and certifications
Peer bonus awards
State of the art laptop and tools
Equipment & Office Stipend
Individual professional development plan
Annual stipend for Learning and Development
Work with an amazing worldwide team and in an incredible corporate culture

Caylent is a place where everyone belongs. We celebrate diversity and are committed to creating an inclusive environment for all employees. Our approach helps us to build a winning team that represents a variety of backgrounds, perspectives, and abilities. So, regardless of how your diversity expresses itself, you can find a home here at Caylent.

We are proud to be an equal opportunity employer. We prohibit discrimination and harassment of any kind based on race, color, religion, national origin, sex (including pregnancy), sexual orientation, gender identity, gender expression, age, veteran status, genetic information, disability, or other applicable legally protected characteristics. If you would like to request an accommodation due to a disability, please contact us at hr@caylent.com."
engenheirode-computa%C3%A7%C3%A3o-cientista-da-computa%C3%A7%C3%A3o-ou-engenheiro-eletricista-at-espectro-ltda-3741142246,2023-10-17,"Engenheirode Computação , Cientista da Computação ou Engenheiro Eletricista",Espectro Ltda.,"Campinas, SP",https://br.linkedin.com/jobs/view/engenheirode-computa%C3%A7%C3%A3o-cientista-da-computa%C3%A7%C3%A3o-ou-engenheiro-eletricista-at-espectro-ltda-3741142246?refId=4tbCN4k1UGz4TShlLrg3tg%3D%3D&trackingId=XRqY7kJT8MNL98x8jIdBGg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"A empresa Espectro Ltda. (www.espectro-eng.com.br) em parceria com pesquisadores da UEL, ESALQ/USP e FEEC/UNICAMP oferece uma vaga para trabalhar com desenvolvimento de algoritmos aplicados à predição de colheita com base em imagens de satélite.O objetivo do projeto é o desenvolvimento de estratégias para previsão de safra de cereais em cultivos irrigados por pivô central utilizando imagens de satélite, assim como dados históricos de produtividade de cada localidade, combinados com técnicas de aprendizado de máquina. 

Responsibilities
A atividades previstas envolvem o desenvolvimento de algoritmos de busca em Banco de Dados online, incluindo imagens e outras informações agrometeorológicas, e a implantação dos algoritmos selecionados em plataformas de computação em nuvem. 

Qualifications
O(a) candidato(a) NECESSARIAMENTE deve ter MESTRADO em engenharia elétrica ou engenharia/ciência de computação. O trabalho será desenvolvido com apoio de uma bolsa CNPq da modalidade SET-E, com duração de dois anos e há possibilidade de contratação do bolsista pela empresa ao final do projeto."
analista-de-desenvolvimento-protheus-at-agrosearch-recrutamento-para-o-agroneg%C3%B3cio-3741659896,2023-10-17,Analista de desenvolvimento Protheus,AGROSearch | Recrutamento para o Agronegócio,"Goiânia, GO",https://br.linkedin.com/jobs/view/analista-de-desenvolvimento-protheus-at-agrosearch-recrutamento-para-o-agroneg%C3%B3cio-3741659896?refId=4tbCN4k1UGz4TShlLrg3tg%3D%3D&trackingId=tIFVlc5fm3mUyVf8MGd%2B2A%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"Nível: Sênior

Cursos de: Análise de Sistemas e Tecnologia da Informação,Gestao de T.I,Informática com ênfase em T.I.,informatica (T.I),Gerenciamento de Redes T.I.,Administração com ênfase em T.I

Escolaridade: Graduação - Completo

Tipo de contrato: CLT

Jornada de trabalho: Hibrido

Disponibilidade para viajar a trabalho

Disponibilidade para home-office

Benefícios: Vale alimentação, Cesta básica, Plano de saúde com Coparticipação, Seguro de vida

Responsabilidades e Experiências Desejáveis

Principais atividades ou funções:
Exercer a liderança técnica da equipe.
Liderar tecnicamente a codificação, atualização e otimização de recursos e aplicações
em front-end (interface com usuário) e back-end.
Liderar tecnicamente a integração e interface entre as aplicações de back-end e front-
end, articulando as aplicações com servidores, bancos de dados, aplicações em nuvem

e demais elementos/funções pertinentes à programação.
Assegurar o levantamento de requisitos com clientes, definido quais as tecnologias que
melhor atendem às demandas existentes.
Articular e efetuar o desenvolvimento de aplicações de front-end e back-end, utilizando
as tecnologias, frameworks e bibliotecas comuns na empresa.
Orientar tecnicamente a codificação e otimização de APIs (Application Programming
Interface).
Colaborar no planejamento e análise de testes de verificação e validação das aplicações,
de acordo com os objetivos e finalidades estabelecidas.
Atuar no deploy de novas versões, com intuito de garantir a funcionalidade e interface
das aplicações.
Melhorar performance e escalabilidade das aplicações, com finalidade de melhorar a
experiência do usuário.
Possuir conhecimentos sobre bancos de dados (relacionais e não-relacionais),
versionamento e virtualização. Assegurar a revisão de códigos-fonte de recursos e o

planejamento de atualizações em conjunto com a equipe de desenvolvimento.
Testar e corrigir erros ou outros problemas de codificação.
Liderar tecnicamente o projeto de arquiteturas na perspectiva de cliente e na perspectiva
de servidor.
Criar recursos e aplicativos com design voltado a dispositivos móveis.
Atuar na produção de peças visuais digitais.
Criar definições de segurança e proteção de dados.
Diagnosticar, depurar e atualizar softwares.
Manter atualizado o histórico de versões das aplicações.
Desenvolver aperfeiçoamentos nos layouts para melhor usabilidade.
Atuar em todo o ciclo de desenvolvimento, desde a arquitetura até a manutenção do
sistema na etapa de produção e debug.
Colaborar no desenvolvimento de interfaces de machine learning para otimização das
aplicações.
Cumprir a política de saúde e segurança do trabalho da empresa, por meio das diretrizes
e regras de ouro, visando proteger a vida, zelar pela saúde, prevenir efeitos danosos ao

meio ambiente gerando ambiente de trabalho saudável e seguro;
Cumprir diretrizes das relações trabalhistas, seguindo normas vigentes, manual do
colaborador, código de conduta, normas do programa de integridade e demais

procedimentos internos.
Zelar pelas ferramentas, equipamentos e materiais de trabalho, mantendo o local em
excelentes condições de ordem, limpeza e conservação."
operations-research-data-scientist-sr-at-luflox-llc-3741948845,2023-10-17,Operations Research Data Scientist SR,Luflox LLC,Brasil,https://br.linkedin.com/jobs/view/operations-research-data-scientist-sr-at-luflox-llc-3741948845?refId=4tbCN4k1UGz4TShlLrg3tg%3D%3D&trackingId=wy%2Fua3Mi9D%2B%2FZDtji3IzzA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"The Intelligence Unit of the Business Operations team seeks a Data Scientist with strong analytical and communication skills to join our team. We develop algorithms that involve learning from core systems, such as HCM, ERP, ATS, CRM, internal products, and Staffing Systems, in order to generate and improve existing data models.

Monthly Salary: $8,500.00

Responsibilities:
Analyzing and translating business needs into long-term solution data models, utilizing code for analyzing data, and building statistical, optimization, and ML models.
Use combinatorial optimization for media mix modeling and resource allocation.
Evaluating implemented data systems for variances, discrepancies, and efficiency.
Leveraging time series analysis for trend identification, seasonality adjustments, and ROI forecasting in advertising campaigns.
Supporting decision-making by developing analytic capabilities, platforms, pipelines, and using them to analyze trends and find root causes of model inaccuracy.

Requirements:
8+ years of experience working in the Data Science field with Optimization and Time Series Forecasting problems, preferably leading customer discovery and requirements discussions, and building/deploying ML models to production.
Demonstrated expertise in the areas of Operations Research, Greedy Heuristics, and Combinatorial Optimization techniques related to Integer Programming and Mixed Integer Programming, and the ability to prototype and solve “knapsack” problems effectively.
Experience with optimization libraries such as Gurobi, Pyomo, Pulp, or Cplex.
Proficient in Python/Scala and SQL, demonstrating best practices for data coding to ensure consistency and readiness for production deployment.
Demonstrated expertise in using commercial and open-source solvers, time series analysis, and forecasting techniques.
Knowledge in Statistics and Applied Math, Computer Science, Operations Research (OR).
Advanced English.
Only for LATAM residents.
Postgraduate degree.

Preferred:
Python tools for Data analysis (NumPy / SciPy / scikit-learn / pandas / matplotlib).
Knowledge of greedy heuristics and their application in rapid decision-making scenarioswithin advertising.
Proficient with Amazon SageMaker and Retrieval Augmented Generation.
Familiarity with TV/Linear Advertising space, Ad Campaign Managers (Hulu, Facebook, Google, etc), Media Planning, Publishing/M&E domain, measurement providers and alternative currencies in linear and addressable (e.g. Nielsen, Commscore, iSpot, Samba, EDO, Wideorbit, Mediaocean, etc).
Experience in Media Mix Modeling (MMM) and Targeted Advertising.
Ability to harness machine learning algorithms, particularly in targeting specific audiences, enhancing the impact of advertising campaigns.
Prior experience working with Supply Chain, especially in translating optimization and scheduling algorithms into tangible actions for creating, distributing, and placing ads.
Data Visualization: Provide insights: and show patterns, trends, or correlations in a single plot. The ability to produce dynamic and interactive data visualizations is a plus.
Mexico resident.

Hiring Process:
30-minute screening meeting + 15-minute English assessment.
15-minute AI automated Career Questionnaire.
45-minute account manager interview."
senior-data-scientist-brazil-at-ci-t-3741511617,2023-10-17,"Senior Data Scientist, Brazil",CI&T,Brasil,https://br.linkedin.com/jobs/view/senior-data-scientist-brazil-at-ci-t-3741511617?refId=4tbCN4k1UGz4TShlLrg3tg%3D%3D&trackingId=jgVK3YbvmRDkSP4zptapMA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"We partner with the world’s most valuable brands to build digital solutions that transform businesses. As a digital native, we bring a 28-year track record of accelerating business impact through complete and scalable digital solutions. With a global presence of 6,500+ professionals in strategy, research, data science, design and engineering, we unlock top-line growth, improve customer experience, and drive operational efficiency.

Responsibilities

Work as a developer using LLM (Large Language Model) models.

Requirements For This Challenge

Proficiency in Python.
Knowledge of LangChain.
Familiarity with data visualization tools and analytics platforms.
Previous experience in data analysis, machine learning, or related fields.
Advanced English.

Nice To Have

Knowledge of SQL is a plus.

Our Benefits

Health plan and dental plan;
Meal allowances;
Childcare assistance;
Extended parenting leave;
Gympass
Annual profit-sharing distribution;
Life insurance;
Partnership with an online mental health platform;
CI&T University;
Discount Club;
Support Program: financial; psychological guidance; nutritionist and more;
Pregnancy course and responsible parenthood;
Partnership with online course platforms
Platform for language learning;
And many others.

#MidSenior

CI&T is an equal-opportunity employer. We celebrate and appreciate the diversity of our CI&Ters’ identities and lived experiences. We are committed to building, promoting, and retaining a diverse, inclusive, and equitable company and culture focused on creating a better tomorrow.

At CI&T, we recognize that innovation and transformation only happen in diverse, inclusive, and safe work environments. Our teams are most impactful when people from all backgrounds and experiences collaborate to share, create, and hear ideas.

We strongly encourage candidates from diverse and underrepresented communities to apply for our vacancies."
especialista-em-ti-at-stellantis-south-america-3741127927,2023-10-17,Especialista em TI,Stellantis South America,"Betim, MG",https://br.linkedin.com/jobs/view/especialista-em-ti-at-stellantis-south-america-3741127927?refId=4tbCN4k1UGz4TShlLrg3tg%3D%3D&trackingId=31CgL%2BavHL%2BMIUCOPiUPSw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"A Stellantis é uma montadora e fornecedora líder global de mobilidade que oferece soluções de mobilidade limpas, conectadas, acessíveis e seguras. A força de nossa empresa reside na amplitude de nosso portfólio de marcas icônicas, na diversidade e na paixão de nossos funcionários e em nossas raízes profundas nas comunidades em que operamos. As ambiciosas estratégias de eletrificação e software que temos e a criação de um ecossistema inovador de parcerias estratégicas e revolucionárias estão impulsionando nossa transformação em uma empresa de tecnologia de mobilidade sustentável.

RESPONSABILIDADES:
Participar de projetos e manutenções corretivas e evolutivas de Tecnologia da Informação relacionadas ao Banco Stellantis, a fim de prover soluções que contribuam para a gestão e operação eficiente e eficaz dos processos de negócio, sempre alinhado com áreas integradas de South América e demais regiões com atuação global do grupo Stellantis.
Suportar os sistemas existentes com agilidade e qualidade, direcionando os incidentes e problemas da área juntos aos fornecedores com foco crítico no tempo de solução.
Atendimento aos usuários dos sistemas, informando e/ou participando de soluções de problemas, incidentes e demandas de melhoria de processos da área de IT do Banco Stellantis.
Atuar com excelência em projetos de ICT para atender evolução do business e/ou ICT.
Interagir com as demais regiões e áreas do grupo Stellantis, buscando a unificação e alinhamento de processos e sistemas.


REQUISITOS:
Formação superior na área de Tecnologia de Informação, Computação, Análise de sistemas ou afins.
Experiência em análise e sustentação de sistemas, gerenciamento de projetos, levantamento de requisitos, definição de escopo e avaliação dos processos de negócios. Análise e estudo de tendências, concorrência e mercado na busca das melhores oportunidades de negócio alinhado a estratégia da empresa. Ser a ponte entre o business e os fornecedores técnicos buscando a melhor solução e prazos para solucionar os projetos e desenvolver novos projetos.
Experiência de em gestão de projetos e serviços de Tecnologia da Informação, utilizando as melhores práticas do ITIL.
Disponibilidade para suportar os sistemas e fechamentos mensais fora do horário, se for necessário.
Experiência no setor bancário ou áreas afins.
Conhecimento de gestão de Serviços ITIL e gestão de serviços em nuvem.
Conhecimento em gestão de projetos. Certificação PMP é um diferencial.
Conhecimento e experiência em metodologias ágeis como Scrum, Kaban, Lean
Inglês avançado

HABILIDADES:
Boa comunicação, relacionamento interpessoal, trabalho em equipe e resolução de conflitos.
Senso de urgência e zelo pelo cliente externo e interno. Perfil hands ON.
Perseguir a melhoria contínua de processos e sistemas.
Conhecimento em segurança da informação.
Ter atuado com análise de requisitos e modelagem de dados.
Habilidade em resolução de problemas complexos.
Habilidade em negociação com fornecedores de TI internos e externos.

DESEJÁVEL:
Pós-graduação, Mestrado ou MBA em Gestão de Serviços de TI e/ou em Gerenciamento de Projetos.
Conhecimento de automação com utilização de RPA.
Conhecimento em Service Now.
Ser entusiasta de tecnologia com e suas tendências como o uso de inteligência Artificial e Machine learning.

Na Stellantis, avaliamos os candidatos com base em qualificações, mérito e necessidades do negócio. Acolhemos candidaturas de pessoas de todas as identidades de gênero, idade, etnia, nacionalidade, religião, orientação sexual e deficiência. Equipes diversas nos permitirão responder melhor às necessidades emergentes dos nossos clientes e cuidar do nosso futuro."
product-owner-at-voyager-portal-3740525101,2023-10-17,Product Owner,Voyager Portal,Brasil,https://br.linkedin.com/jobs/view/product-owner-at-voyager-portal-3740525101?refId=4tbCN4k1UGz4TShlLrg3tg%3D%3D&trackingId=FZv7P2V%2FIkBBsMZU1UHPsQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"Voyager is a venture capital backed B2B SaaS company helping energy companies transport commodities around the world more efficiently. Each year, companies spend ~$400b transporting raw materials and manufactured products such as crude, natural gas, metals, and turbines across the world. Most of these companies still rely on email, XLS and outdated ERP applications to manage their operations. Voyager operations management platform for maritime helps these companies reduce shipping costs, automate manual processes and increase visibility of operations. Voyager Portal has offices in Houston, London, Singapore and Joinville. 

Location and travel
This role is open to candidates based in Brazil and willing to travel. We offer flexible work schedules and some travel will be required for the job, mainly within Brazil but availability for international travel is necessary as well. This includes both interactions with Voyager’s team and with clients or potential clients

Why join Voyager?
If you enjoy challenging problems with a diverse and an international group of people, Voyager is a great place to jump in. We deeply value individuals who can work collaboratively and are highly motivated. Startups can be chaotic environments where responsibilities, expectations, and requirements change on a regular basis; being able to navigate this uncertainty and thrive is key.

Activities
Execution:
Ensure the proper execution of Voyager’s business vision
Develop as quickly as possible an understanding of the shipping industry, notably operations and delays
Define clear problem statements and design solutions together with the engineering team
Actively mitigate roadblocks impacting successful team completion of problem solving
Ability to find meaningful and global solutions in an environment with diverse and sometimes conflicting feedback
Follow up on releases to ensure usage metrics are being met and exceeded
Is hands on with data analytics and user experience
Communication:
Define product vision, roadmap, and growth opportunities internally and externally
Engage closely with and lead teams of (1) data entry, (2) data science, and (3) data analysis
Communicate with clients and industry leaders our vision and roadmap
Collaborate with sales and marketing to ensure industry needs and market opportunities are being considered in long term product strategy
Communicate product strategy to the company
Collaborate with the leadership team and founders on long term company strategy

What we are looking for
Fluent in English
3-5 years of experience as a product owner or manager with a Vertical B2B SaaS company. Ideally Series C or earlier
Ability to quickly understand a new industry
A research and hypothesis driven mindset
Entrepreneurial spirit
Intellectual curiosity and love for learning new things
Experience working with a global team and international cultures
Strong technical skills such as SQL or previous experience in full stack development

 Bonus if you have
Experience/interest in logistics and supply chain within the energy or commodity industry
Experience/interest in the maritime industry
Experience with working with statistics or data scientists

What we provide
Competitive salary in line with your city and country of work
Stock options
Health insurance
Annual all-company events in different international locations
An opportunity to travel and see the world (our customers are global)"
